,price,ranks,title,average_rating,no_of_reviews,author,cover_type,year,genre
498,15.99,19,Origin: A Novel (Robert Langdon),4.4,70430,Dan Brown,Hardcover,2017,Fiction
499,12.54,20,A Man Called Ove: A Novel,4.6,180539,Fredrik Backman,Paperback,2017,Fiction
500,8.89,21,The Sun and Her Flowers,4.8,18422,Rupi Kaur,Paperback,2017,Non Fiction
501,5.0,22,Dear Zoo: A Lift-the-Flap Book,4.8,27625,Rod Campbell,Board book,2017,Fiction
502,7.74,23,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,105284,Don Miguel Ruiz,Paperback,2017,Non Fiction
503,3.97,24,The Going To Bed Book,4.8,16758,Sandra Boynton,Board book,2017,Fiction
504,20.96,25,StrengthsFinder 2.0,4.1,8109,Gallup,Hardcover,2017,Non Fiction
505,9.4,26,The Wonderful Things You Will Be,4.9,27383,Emily Winfield Martin,Hardcover,2017,Fiction
506,10.43,27,The Shack: Where Tragedy Confronts Eternity,4.6,40920,William P. Young,Paperback,2017,Fiction
507,8.89,28,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,4.5,58294,Marie KondÅ,Hardcover,2017,Non Fiction
508,16.98,29,"Option B: Facing Adversity, Building Resilience, and Finding Joy",4.5,4001,Sheryl Sandberg,Hardcover,2017,Non Fiction
509,27.03,30,Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),4.6,14996,Thug Kitchen,Hardcover,2017,Non Fiction
510,8.53,51,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",4.8,25465,Valorie Schaefer,Paperback,2017,Non Fiction
511,10.44,52,"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",4.7,10635,Lysa TerKeurst,Paperback,2017,Non Fiction
512,15.23,53,Big Little Lies,4.4,152702,Liane Moriarty,Paperback,2017,Fiction
513,25.45,54,The Official SAT Study Guide,4.5,2396,The College Board,Paperback,2017,Non Fiction
514,17.0,55,The Whole30 Cookbook: 150 Delicious and Totally Compliant Recipes to Help You Succeed with the Whole30 and Beyond,4.6,2848,Melissa Hartwig Urban,Hardcover,2017,Non Fiction
515,11.29,56,"Thinking, Fast and Slow",4.6,39265,Daniel Kahneman,Paperback,2017,Non Fiction
516,8.89,57,"Jesus Calling, Padded Hardcover, with Scripture references",4.9,39374,Sarah Young,Hardcover,2017,Non Fiction
517,12.7,58,What to Expect When You're Expecting,4.8,30677,Heidi Murkoff,Paperback,2017,Non Fiction
518,11.24,59,The Glass Castle: A Memoir (book),4.6,37709,Jeannette Walls,Paperback,2017,Non Fiction
519,7.12,60,The Great Gatsby: The Only Authorized Edition,4.4,13718,F. Scott Fitzgerald,Paperback,2017,Non Fiction
520,14.17,61,The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,4.7,2625,Oprah Winfrey,Hardcover,2017,Non Fiction
521,5.68,62,P is for Potty! (Sesame Street) (Lift-the-Flap),4.7,29325,Naomi Kleinberg,Board book,2017,Non Fiction
522,12.71,63,The Rooster Bar,4.2,22294,John Grisham,Hardcover,2017,Fiction
523,10.74,64,The Giving Tree,4.9,30361,Shel Silverstein,Hardcover,2017,Fiction
524,10.09,65,She Persisted: 13 American Women Who Changed the World,4.8,3303,Chelsea Clinton,Hardcover,2017,Non Fiction
525,6.38,66,On Tyranny: Twenty Lessons from the Twentieth Century,4.7,21886,Timothy Snyder,Paperback,2017,Non Fiction
526,13.89,67,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",4.6,136541,Paulo Coelho,Paperback,2017,Fiction
527,8.36,68,Fahrenheit 451,4.6,46708,Ray Bradbury,Paperback,2017,Fiction
528,13.61,69,Camino Island: A Novel,4.3,37087,John Grisham,Hardcover,2017,Fiction
529,11.34,70,Turtles All the Way Down,4.6,14555,John Green,Hardcover,2017,Fiction
530,21.88,71,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,4.7,39611,BrenÃ© Brown,Paperback,2017,Non Fiction
531,4.98,72,Love You Forever,4.9,57802,Robert Munsch,Paperback,2017,Fiction
532,16.05,73,"The Pioneer Woman Cooksâ€•Come and Get It!: Simple, Scrumptious Recipes for Crazy Busy Lives",4.8,4902,Ree Drummond,Hardcover,2017,Non Fiction
533,12.98,74,Mindset: The New Psychology of Success,4.6,26347,Carol S. Dweck,Paperback,2017,Non Fiction
534,5.0,75,Where Is Baby's Belly Button? A Lift-the-Flap Book,4.8,13284,Karen Katz,Board book,2017,Non Fiction
535,21.55,76,Grant,4.8,9022,Ron Chernow,Hardcover,2017,Non Fiction
537,21.45,78,Sapiens: A Brief History of Humankind,4.6,131704,Yuval Noah Harari,Hardcover,2017,Non Fiction
538,17.98,79,The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,4.7,37437,Benjamin Graham,Paperback,2017,Non Fiction
539,16.49,80,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",4.4,14965,Dr. Steven R Gundry  MD,Hardcover,2017,Non Fiction
540,19.59,1,Becoming,4.8,140222,Michelle Obama,Hardcover,2018,Non Fiction
541,15.8,2,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",4.6,27934,Rachel Hollis,Hardcover,2018,Non Fiction
542,5.28,3,The Wonky Donkey,4.8,78866,Craig Smith,Paperback,2018,Fiction
543,7.66,4,Fire and Fury: Inside the Trump White House,4.2,22003,Michael Wolff,Hardcover,2018,Non Fiction
544,13.22,5,Fear: Trump in the White House,4.5,11469,Bob Woodward,Hardcover,2018,Non Fiction
545,16.99,6,Last Week Tonight with John Oliver Presents: A Day in the Life of Marlon Bundo (HBO),4.9,15274,Jill Twiss,Hardcover,2018,Fiction
546,15.94,7,12 Rules for Life: An Antidote to Chaos,4.8,65912,Jordan B. Peterson,Hardcover,2018,Non Fiction
547,16.59,8,Magnolia Table,4.8,33622,Joanna Gaines,Hardcover,2018,Non Fiction
548,10.07,9,Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,4.6,10031,The Staff of The Late Show with Stephen Colbert,Hardcover,2018,Non Fiction
549,14.09,10,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.6,104033,Mark Manson,Hardcover,2018,Non Fiction
550,5.99,11,"A Higher Loyalty: Truth, Lies, and Leadership",4.7,9423,James Comey,Hardcover,2018,Non Fiction
551,6.98,12,The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,4.3,29402,Amy Ramos,Paperback,2018,Non Fiction
552,8.79,13,Diary of a Wimpy Kid #13: Meltdown,4.8,25396,Jeff Kinney,Hardcover,2018,Fiction
553,8.39,14,The 5 Love Languages: The Secret to Love that Lasts,4.8,88040,Gary Chapman,Paperback,2018,Non Fiction
554,4.78,15,First 100 Words: A Padded Board Book,4.7,36372,Roger Priddy,Board book,2018,Non Fiction
555,8.99,16,Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),4.9,17248,Dav Pilkey,Hardcover,2018,Fiction
556,14.69,17,Educated: A Memoir,4.7,97811,Tara Westover,Hardcover,2018,Non Fiction
557,8.89,18,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,4.7,44531,Jen Sincero,Paperback,2018,Non Fiction
558,16.49,19,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",4.4,14965,Dr. Steven R Gundry  MD,Hardcover,2018,Non Fiction
559,5.94,20,Giraffes Can't Dance,4.8,28680,Giles Andreae,Board book,2018,Fiction
560,26.1,21,D&D Playerâ€™s Handbook (Dungeons & Dragons Core Rulebook),4.9,48741,Dungeons & Dragons,Hardcover,2018,Non Fiction
561,20.9,22,Homebody: A Guide to Creating Spaces You Never Want to Leave,4.8,11325,Joanna Gaines,Hardcover,2018,Non Fiction
562,6.56,23,The Very Hungry Caterpillar,4.9,57968,Eric Carle,Board book,2018,Fiction
563,10.0,24,Crazy Rich Asians (Crazy Rich Asians Trilogy),4.3,52373,Kevin Kwan,Paperback,2018,Fiction
564,12.14,25,The Hate U Give: A Printz Honor Winner,4.8,30966,Angie Thomas,Hardcover,2018,Fiction
565,11.57,26,The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,4.4,12801,Laurel Randolph,Paperback,2018,Non Fiction
566,7.74,27,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,105284,Don Miguel Ruiz,Paperback,2018,Non Fiction
567,9.4,28,The Wonderful Things You Will Be,4.9,27383,Emily Winfield Martin,Hardcover,2018,Fiction
568,5.68,29,P is for Potty! (Sesame Street) (Lift-the-Flap),4.7,29325,Naomi Kleinberg,Board book,2018,Non Fiction
569,4.98,30,The Pout-Pout Fish,4.8,25352,Deborah Diesen,Board book,2018,Fiction
570,13.89,51,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",4.6,136541,Paulo Coelho,Paperback,2018,Fiction
571,9.4,52,Wonder,4.7,82591,R. J. Palacio,Hardcover,2018,Fiction
572,8.89,53,To Kill a Mockingbird,4.7,128002,Harper Lee,Paperback,2018,Fiction
573,15.68,54,The Whole30: The 30-Day Guide to Total Health and Food Freedom,4.6,16309,Melissa Hartwig Urban,Hardcover,2018,Non Fiction
574,18.29,55,The Keto Diet: The Complete Guide to a High-Fat Diet,4.4,7560,Leanne Vogel,Paperback,2018,Non Fiction
575,11.29,56,Everybody Always: Becoming Love in a World Full of Setbacks and Difficult People,4.8,6848,Bob Goff,Paperback,2018,Fiction
576,14.97,57,Before We Were Yours: A Novel,4.7,45586,Lisa Wingate,Hardcover,2018,Fiction
577,15.68,58,The Reckoning: A Novel,4.2,29928,John Grisham,Hardcover,2018,Fiction
578,4.94,59,"Brown Bear, Brown Bear, What Do You See?",4.9,50740,Bill Martin Jr.,Board book,2018,Fiction
579,13.46,60,Beneath a Scarlet Sky: A Novel,4.7,90997,Mark Sullivan,Paperback,2018,Non Fiction
580,12.7,61,What to Expect When You're Expecting,4.8,30677,Heidi Murkoff,Paperback,2018,Non Fiction
581,16.59,62,Principles: Life and Work,4.6,13575,Ray Dalio,Hardcover,2018,Non Fiction
582,9.99,63,Astrophysics for People in a Hurry,4.7,22986,Neil deGrasse Tyson,Hardcover,2018,Non Fiction
583,4.99,64,Laugh-Out-Loud Jokes for Kids,4.6,11593,Rob Elliott,Paperback,2018,Non Fiction
584,17.51,65,"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease",4.7,11414,Anthony William,Hardcover,2018,Non Fiction
585,25.45,66,The Official SAT Study Guide,4.5,2396,The College Board,Paperback,2018,Non Fiction
586,4.99,67,Calm the F*ck Down: An Irreverent Adult Coloring Book,4.6,21280,Sasha O'Hara,Paperback,2018,Non Fiction
587,8.53,68,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",4.8,25465,Valorie Schaefer,Paperback,2018,Fiction
588,15.68,69,The Outsider: A Novel,4.6,32809,Stephen King,Hardcover,2018,Fiction
589,14.69,70,Where the Crawdads Sing,4.8,429687,Delia Owens,Hardcover,2018,Fiction
590,27.97,71,D&D Dungeon Masterâ€™s Guide (Dungeons & Dragons Core Rulebook),4.9,48741,Dungeons & Dragons,Hardcover,2018,Non Fiction
591,14.7,72,Sapiens: A Brief History of Humankind,4.6,131227,Yuval Harari,Paperback,2018,Fiction
592,4.98,73,Love You Forever,4.9,57802,Robert Munsch,Paperback,2018,Fiction
593,9.92,74,Dragons Love Tacos,4.8,17455,Adam Rubin,Hardcover,2018,Fiction
594,14.1,75,The Woman in the Window: A Novel,4.4,68212,A. J. Finn,Hardcover,2018,Fiction
595,27.49,76,D&D Monster Manual (Dungeons & Dragons Core Rulebook),4.9,48741,Dungeons & Dragons,Hardcover,2018,Non Fiction
596,18.29,77,Simply Keto: A Practical Approach to Health & Weight Loss with 100+ Easy Low-Carb Recipes,4.6,9638,Suzanne Ryan,Paperback,2018,Non Fiction
597,20.96,78,StrengthsFinder 2.0,4.1,8109,Gallup,Hardcover,2018,Non Fiction
598,17.98,79,Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),4.8,30986,Jocko Willink,Hardcover,2018,Non Fiction
599,14.89,80,The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,4.8,4808,Gregg Jarrett,Hardcover,2018,Non Fiction
600,14.69,1,Where the Crawdads Sing,4.8,429687,Delia Owens,Hardcover,2019,Fiction
601,19.59,2,Becoming,4.8,140222,Michelle Obama,Hardcover,2019,Non Fiction
602,14.69,3,Educated: A Memoir,4.7,97812,Tara Westover,Hardcover,2019,Non Fiction
603,6.79,4,Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),4.9,24558,Dav Pilkey,Hardcover,2019,Fiction
604,15.8,5,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",4.6,27934,Rachel Hollis,Hardcover,2019,Non Fiction
605,7.76,6,Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),4.9,29478,Dav Pilkey,Hardcover,2019,Fiction
606,8.96,7,Wrecking Ball (Diary of a Wimpy Kid Book 14),4.9,18978,Jeff Kinney,Hardcover,2019,Fiction
607,9.4,8,The Wonderful Things You Will Be,4.9,27383,Emily Winfield Martin,Hardcover,2019,Fiction
608,10.98,9,"School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)",4.8,69754,School Zone,Paperback,2019,Non Fiction
609,8.39,10,The 5 Love Languages: The Secret to Love that Lasts,4.8,88040,Gary Chapman,Paperback,2019,Non Fiction
610,18.0,11,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",4.6,14496,Rachel Hollis,Hardcover,2019,Non Fiction
611,5.28,12,The Wonky Donkey,4.8,78866,Craig Smith,Paperback,2019,Fiction
612,14.09,13,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,4.6,104033,Mark Manson,Hardcover,2019,Non Fiction
613,6.99,14,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),4.6,30452,M Prefontaine,Paperback,2019,Non Fiction
614,27.98,15,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",4.8,21604,Samin Nosrat,Hardcover,2019,Non Fiction
615,6.56,16,The Very Hungry Caterpillar,4.9,57968,Eric Carle,Board book,2019,Fiction
616,11.99,17,"What Should Danny Do? (The Power to Choose Series) (The Power to Choose, 1)",4.8,22965,Adir Levy,Hardcover,2019,Fiction
617,17.44,18,It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,4.8,17800,Lysa TerKeurst,Hardcover,2019,Non Fiction
618,6.99,19,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",4.8,33067,Hopscotch Girls,Paperback,2019,Non Fiction
619,7.74,20,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,105284,Don Miguel Ruiz,Paperback,2019,Non Fiction
620,13.58,21,Unfreedom of the Press,4.9,9354,Mark R. Levin,Hardcover,2019,Non Fiction
621,8.99,22,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),4.9,19782,Dav Pilkey,Hardcover,2019,Fiction
622,5.94,23,Giraffes Can't Dance,4.8,28680,Giles Andreae,Board book,2019,Fiction
623,4.19,24,If Animals Kissed Good Night,4.8,72050,Ann Whitford Paul,Board book,2019,Fiction
624,8.48,25,"Oh, the Places You'll Go!Â Â ",4.9,45619,Dr. Seuss,Hardcover,2019,Fiction
625,15.73,26,Howard Stern Comes Again,4.5,8061,Howard Stern,Hardcover,2019,Non Fiction
626,6.24,27,Guts: A Graphic Novel,4.8,14438,Raina Telgemeier,Paperback,2019,Non Fiction
627,8.89,28,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,4.5,58294,Marie KondÅ,Hardcover,2019,Non Fiction
628,29.98,29,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",4.9,25980,J. K. Rowling,Hardcover,2019,Fiction
629,13.07,30,National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),4.8,18553,Amy Shields,Hardcover,2019,Non Fiction
630,12.0,51,Zen as F*ck (Zen as F*ck Journals),4.7,24185,Monica Sweeney,Paperback,2019,Non Fiction
631,7.61,52,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,4.7,83298,Robert T. Kiyosaki,Mass Market Paperback,2019,Non Fiction
632,16.99,53,The Institute: A Novel,4.7,39967,Stephen King,Hardcover,2019,Fiction
633,15.99,54,The Testaments: The Sequel to The Handmaid's Tale,4.6,45118,Margaret Atwood,Hardcover,2019,Fiction
634,32.0,55,Super Deluxe Essential Handbook (PokÃ©mon): The Need-to-Know Stats and Facts on Over 800 Characters,4.8,21186,Scholastic,Paperback,2019,Non Fiction
635,6.99,56,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,4.5,20929,Paper Peony Press,Paperback,2019,Non Fiction
636,3.84,57,"Carson Dellosa Sight Words Flash Cards Kindergarten, First Words Flash Cards, High Frequency Vocabulary Words, and Picture Words Flash Cards for Toddlers Ages 4+",4.8,50517,Brighter Child,Cards,2019,Non Fiction
637,13.49,58,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,4.8,101004,James Clear,Hardcover,2019,Non Fiction
638,11.58,59,Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,4.7,33217,Admiral William H. McRaven,Hardcover,2019,Non Fiction
639,21.88,60,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,4.7,39611,BrenÃ© Brown,Paperback,2019,Non Fiction
640,14.7,61,Sapiens: A Brief History of Humankind,4.6,131227,Yuval Harari,Paperback,2019,Non Fiction
641,12.7,62,What to Expect When You're Expecting,4.8,30677,Heidi Murkoff,Paperback,2019,Non Fiction
642,12.8,63,Where the Crawdads Sing,4.8,429687,Delia Owens,Paperback,2019,Fiction
643,9.05,64,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",4.8,12007,BrenÃ© Brown,Paperback,2019,Non Fiction
644,13.89,65,"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",4.6,136541,Paulo Coelho,Paperback,2019,Fiction
645,19.78,66,"Publication Manual of the American Psychological Association, 6th Edition",4.5,12906,American Psychological Association,Paperback,2019,Non Fiction
646,4.98,67,The Pout-Pout Fish,4.8,25352,Deborah Diesen,Board book,2019,Fiction
647,15.68,68,Talking to Strangers: What We Should Know about the People We Don't Know,4.5,17073,Malcolm Gladwell,Hardcover,2019,Non Fiction
648,5.0,69,Dear Zoo: A Lift-the-Flap Book,4.8,27625,Rod Campbell,Board book,2019,Fiction
649,15.95,70,The Overstory: A Novel,4.4,17601,Richard Powers,Paperback,2019,Fiction
650,8.36,71,Fahrenheit 451,4.6,46708,Ray Bradbury,Paperback,2019,Fiction
651,20.96,72,StrengthsFinder 2.0,4.1,8109,Gallup,Hardcover,2019,Non Fiction
652,15.94,73,12 Rules for Life: An Antidote to Chaos,4.8,65912,Jordan B. Peterson,Hardcover,2019,Non Fiction
653,8.31,74,Eleanor Oliphant Is Completely Fine: A Novel,4.5,149886,Gail Honeyman,Paperback,2019,Fiction
654,14.0,75,Me: Elton John Official Autobiography,4.8,24174,Elton John,Hardcover,2019,Non Fiction
655,13.29,76,The Road Back to You: An Enneagram Journey to Self-Discovery,4.7,10908,Ian Morgan Cron,Hardcover,2019,Non Fiction
656,9.39,77,The Tattooist of Auschwitz: A Novel,4.7,122320,Heather Morris,Paperback,2019,Fiction
657,11.99,78,People of Walmart Adult Coloring Book: Rolling Back Dignity,4.7,11257,Andrew Kipple,Paperback,2019,Non Fiction
658,7.12,79,The Great Gatsby: The Only Authorized Edition,4.4,13718,F. Scott Fitzgerald,Paperback,2019,Fiction
659,10.44,80,The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,4.8,20725,Americaâ€™s Test Kitchen Kids,Hardcover,2019,Non Fiction
