,price,ranks,title,average_rating,no_of_reviews,author,cover_type,year,genre
330,12.07,51,Allegiant,4.1,66449,Veronica Roth,Hardcover,2014,Fiction
331,14.68,52,Yes Please,4.2,20433,Amy Poehler,Hardcover,2014,Non Fiction
332,23.0,53,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",4.6,12109,Patrick Lencioni,Hardcover,2014,Non Fiction
333,7.74,54,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,105284,Don Miguel Ruiz,Paperback,2014,Non Fiction
334,20.8,55,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.7,9341,Stephen R. Covey,Paperback,2014,Non Fiction
335,11.4,56,41: A Portrait of My Father,4.6,5027,George W. Bush,Hardcover,2014,Non Fiction
336,48.99,57,Minecraft: The Complete Handbook Collection,4.8,1428,Stephanie Milton,Hardcover,2014,Fiction
337,3.79,58,Frozen: A Tale of Two Sisters,4.4,2241,Melissa Lagonegro,Paperback,2014,Fiction
338,11.75,59,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),4.9,10131,Rush Limbaugh,Hardcover,2014,Fiction
339,21.88,60,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,4.7,39611,Bren̩ Brown,Paperback,2014,Non Fiction
340,18.07,61,Divergent / Insurgent / Allegiant,4.6,4637,Veronica Roth,Hardcover,2014,Fiction
341,10.49,62,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,4.6,24836,Todd Burpo,Paperback,2014,Non Fiction
342,15.66,63,Flash Boys,4.5,17721,Michael Lewis,Hardcover,2014,Non Fiction
343,12.8,64,Rush Revere and the American Revolution: Time-Travel Adventures With Exceptional Americans,4.9,4869,Rush Limbaugh,Hardcover,2014,Fiction
344,5.0,65,Dear Zoo: A Lift-the-Flap Book,4.8,27625,Rod Campbell,Board book,2014,Fiction
345,3.97,66,The Going To Bed Book,4.8,16758,Sandra Boynton,Board book,2014,Fiction
346,34.99,67,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,4.7,10247,George R. R. Martin,Hardcover,2014,Fiction
347,54.91,68,The Real ACT Prep Guide,4.4,812,ACT,Paperback,2014,Non Fiction
348,15.0,69,Gray Mountain: A Novel,4.0,85575,John Grisham,Hardcover,2014,Fiction
349,18.9,70,What to Expect When You're Expecting,4.8,30660,Heidi Murkoff,Paperback,2014,Non Fiction
350,12.99,71,The Jesus Storybook Bible: Every Story Whispers His Name,4.9,12371,Sally Lloyd-Jones,Hardcover,2014,Non Fiction
351,15.0,72,"Lean In: Women, Work, and the Will to Lead",4.5,16967,Sheryl Sandberg,Hardcover,2014,Non Fiction
352,16.5,73,The Invention of Wings,4.5,53277,Sue Monk Kidd,Hardcover,2014,Fiction
