,price,ranks,title,no_of_reviews,ratings,author,cover_type,year
414,6.99,75,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,4.6,DK,,Paperback,2015
415,16.53,76,The 20/20 Diet: Turn Your Weight Loss Vision Into Reality,4.0,Phil McGraw,,Hardcover,2015
416,6.27,77,Night (Night),4.7,"19,811",Elie Wiesel,Paperback,2015
417,18.90,78,What to Expect When You're Expecting,4.8,"30,660",Heidi Murkoff,Paperback,2015
418,12.99,79,The Jesus Storybook Bible: Every Story Whispers His Name,4.9,"12,371",Sally Lloyd-Jones,Hardcover,2015
419,14.63,80,The Road to Character,4.3,"5,957",David Brooks,Hardcover,2015
420,11.39,1,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",4.3,"69,325",J.K. Rowling,Hardcover,2016
421,20.96,2,StrengthsFinder 2.0,4.1,Gallup,,Hardcover,2016
422,4.78,3,First 100 Words: A Padded Board Book,4.7,"36,371",Roger Priddy,Board book,2016
423,8.89,4,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,4.5,Marie Kondō,,Hardcover,2016
424,8.48,5,"Oh, the Places You'll Go!  ",4.9,"45,619",Dr. Seuss,Hardcover,2016
425,13.95,6,Diary of a Wimpy Kid #11: Double Down,4.8,"21,826",Jeff Kinney,Hardcover,2016
426,18.20,7,When Breath Becomes Air,4.7,"86,364",Paul Kalanithi,Hardcover,2016
427,5.94,8,Giraffes Can't Dance,4.8,Giles Andreae,,Board book,2016
428,8.39,9,The 5 Love Languages: The Secret to Love that Lasts,4.8,"88,040",Gary Chapman,Paperback,2016
429,15.68,10,The Whole30: The 30-Day Guide to Total Health and Food Freedom,4.6,Melissa Hartwig Urban,,Hardcover,2016
430,12.54,11,A Man Called Ove: A Novel,4.6,"180,536",Fredrik Backman,Paperback,2016
431,15.80,12,Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series),4.8,"11,613",Bill O'Reilly,Hardcover,2016
432,10.30,13,How to Win Friends & Influence People (Dale Carnegie Books),4.7,"104,601",Dale Carnegie,Paperback,2016
433,14.10,14,The Magnolia Story,4.8,"10,381",Chip Gaines,Hardcover,2016
434,4.99,15,Laugh-Out-Loud Jokes for Kids,4.6,"11,593",Rob Elliott,Paperback,2016
435,21.47,16,To Kill a Mockingbird,4.7,"128,002",Harper Lee,Mass Market Paperback,2016
436,14.63,17,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,4.4,"43,015",J. D. Vance,Hardcover,2016
437,13.55,18,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),4.7,"11,446",J.K. Rowling,Hardcover,2016
438,26.13,19,Hamilton: The Revolution,4.9,"14,086",Lin-Manuel Miranda,Hardcover,2016
439,10.33,20,The Girl on the Train,4.1,"335,718",Paula Hawkins,Paperback,2016
440,12.98,21,Mindset: The New Psychology of Success,4.6,"26,347",Carol S. Dweck,Paperback,2016
441,39.93,22,"The Official SAT Study Guide, 2016 Edition",4.4,"1,109",The College Board,Paperback,2016
442,8.99,23,,4.5,"3,145",,Paperback,2016
443,7.74,24,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),4.7,"105,284",Don Miguel Ruiz,Paperback,2016
444,7.83,25,Milk and Honey,4.7,"53,564",Rupi Kaur,Paperback,2016
445,3.97,26,The Going To Bed Book,4.8,"16,758",Sandra Boynton,Board book,2016
446,16.99,27,Born to Run,4.7,"7,401",Bruce Springsteen,Hardcover,2016
447,11.50,28,Alexander Hamilton,4.7,"31,526",Ron Chernow,Paperback,2016
448,6.56,29,The Very Hungry Caterpillar,4.9,"57,968",Eric Carle,Board book,2016
449,20.80,30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.7,"9,341",Stephen R. Covey,Paperback,2016
450,8.36,51,Fahrenheit 451,4.6,"46,708",Ray Bradbury,Paperback,2016
451,4.98,52,Love You Forever,4.9,"57,802",Robert Munsch,Paperback,2016
452,7.12,53,The Great Gatsby: The Only Authorized Edition,4.4,"13,718",F. Scott Fitzgerald,Paperback,2016
